conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
62,TLS_AES_256_GCM_SHA384,ML-KEM-512,124814.00,0.00,165.00,223.00,81630.00
63,TLS_AES_256_GCM_SHA384,ML-KEM-512,127157.00,1.00,267.00,163.00,83902.00
64,TLS_AES_256_GCM_SHA384,ML-KEM-512,126745.00,0.00,173.00,165.00,83719.00
65,TLS_AES_256_GCM_SHA384,ML-KEM-512,126837.00,0.00,213.00,187.00,83903.00
66,TLS_AES_256_GCM_SHA384,ML-KEM-512,126909.00,0.00,208.00,162.00,83685.00
67,TLS_AES_256_GCM_SHA384,ML-KEM-512,126585.00,0.00,324.00,201.00,82870.00
68,TLS_AES_256_GCM_SHA384,ML-KEM-512,125791.00,0.00,183.00,437.00,82573.00
69,TLS_AES_256_GCM_SHA384,ML-KEM-512,125441.00,0.00,159.00,144.00,83020.00
70,TLS_AES_256_GCM_SHA384,ML-KEM-512,124722.00,0.00,60.00,65.00,82063.00
71,TLS_AES_256_GCM_SHA384,ML-KEM-512,126739.00,1.00,171.00,171.00,84027.00
72,TLS_AES_256_GCM_SHA384,ML-KEM-512,126935.00,0.00,213.00,160.00,83570.00
73,TLS_AES_256_GCM_SHA384,ML-KEM-512,126496.00,0.00,210.00,188.00,83560.00
74,TLS_AES_256_GCM_SHA384,ML-KEM-512,127077.00,0.00,452.00,158.00,83410.00
75,TLS_AES_256_GCM_SHA384,ML-KEM-512,125566.00,0.00,199.00,195.00,82400.00
76,TLS_AES_256_GCM_SHA384,ML-KEM-512,126980.00,0.00,310.00,165.00,83457.00
77,TLS_AES_256_GCM_SHA384,ML-KEM-512,124883.00,1.00,171.00,184.00,82014.00
78,TLS_AES_256_GCM_SHA384,ML-KEM-512,126853.00,0.00,157.00,156.00,84380.00
79,TLS_AES_256_GCM_SHA384,ML-KEM-512,126870.00,0.00,165.00,138.00,84046.00
80,TLS_AES_256_GCM_SHA384,ML-KEM-512,126592.00,0.00,164.00,166.00,83576.00
81,TLS_AES_256_GCM_SHA384,ML-KEM-512,126247.00,0.00,288.00,167.00,83342.00
82,TLS_AES_256_GCM_SHA384,ML-KEM-512,125568.00,0.00,180.00,166.00,82590.00
83,TLS_AES_256_GCM_SHA384,ML-KEM-512,126009.00,0.00,155.00,194.00,82697.00
84,TLS_AES_256_GCM_SHA384,ML-KEM-512,125792.00,0.00,225.00,196.00,83020.00
85,TLS_AES_256_GCM_SHA384,ML-KEM-512,126551.00,0.00,161.00,157.00,84180.00
86,TLS_AES_256_GCM_SHA384,ML-KEM-512,127310.00,0.00,483.00,157.00,83382.00
87,TLS_AES_256_GCM_SHA384,ML-KEM-512,125856.00,0.00,212.00,168.00,82238.00
88,TLS_AES_256_GCM_SHA384,ML-KEM-512,124565.00,0.00,218.00,227.00,81676.00
89,TLS_AES_256_GCM_SHA384,ML-KEM-512,127127.00,1.00,252.00,192.00,83173.00
90,TLS_AES_256_GCM_SHA384,ML-KEM-512,126693.00,1.00,216.00,223.00,83513.00
91,TLS_AES_256_GCM_SHA384,ML-KEM-512,126289.00,0.00,215.00,194.00,83106.00
92,TLS_AES_256_GCM_SHA384,ML-KEM-512,126248.00,0.00,143.00,135.00,83386.00
93,TLS_AES_256_GCM_SHA384,ML-KEM-512,127265.00,1.00,188.00,149.00,83792.00
94,TLS_AES_256_GCM_SHA384,ML-KEM-512,125356.00,0.00,208.00,177.00,82032.00
95,TLS_AES_256_GCM_SHA384,ML-KEM-512,124997.00,0.00,164.00,172.00,82288.00
96,TLS_AES_256_GCM_SHA384,ML-KEM-512,127882.00,1.00,247.00,193.00,84242.00
97,TLS_AES_256_GCM_SHA384,ML-KEM-512,127838.00,0.00,232.00,184.00,84248.00
98,TLS_AES_256_GCM_SHA384,ML-KEM-512,127772.00,0.00,215.00,195.00,84129.00
99,TLS_AES_256_GCM_SHA384,ML-KEM-512,126636.00,1.00,226.00,194.00,83262.00
100,TLS_AES_256_GCM_SHA384,ML-KEM-512,125015.00,0.00,131.00,121.00,82014.00
101,TLS_AES_256_GCM_SHA384,ML-KEM-512,125818.00,0.00,200.00,165.00,82610.00
102,TLS_AES_256_GCM_SHA384,ML-KEM-512,126971.00,0.00,130.00,158.00,83937.00
103,TLS_AES_256_GCM_SHA384,ML-KEM-512,125505.00,1.00,270.00,169.00,82498.00
104,TLS_AES_256_GCM_SHA384,ML-KEM-512,125578.00,1.00,266.00,151.00,82962.00
105,TLS_AES_256_GCM_SHA384,ML-KEM-512,125362.00,0.00,175.00,151.00,82773.00
106,TLS_AES_256_GCM_SHA384,ML-KEM-512,126875.00,0.00,193.00,184.00,83419.00
107,TLS_AES_256_GCM_SHA384,ML-KEM-512,126837.00,0.00,214.00,193.00,83131.00
108,TLS_AES_256_GCM_SHA384,ML-KEM-512,125843.00,0.00,170.00,185.00,82771.00
109,TLS_AES_256_GCM_SHA384,ML-KEM-512,125598.00,0.00,218.00,195.00,82511.00
110,TLS_AES_256_GCM_SHA384,ML-KEM-512,127872.00,0.00,396.00,152.00,84293.00
111,TLS_AES_256_GCM_SHA384,ML-KEM-512,125944.00,0.00,224.00,152.00,83008.00
112,TLS_AES_256_GCM_SHA384,ML-KEM-512,126955.00,0.00,290.00,138.00,84259.00
113,TLS_AES_256_GCM_SHA384,ML-KEM-512,126844.00,1.00,199.00,184.00,83769.00
114,TLS_AES_256_GCM_SHA384,ML-KEM-512,125618.00,0.00,191.00,157.00,82898.00
115,TLS_AES_256_GCM_SHA384,ML-KEM-512,126281.00,0.00,242.00,198.00,82965.00
116,TLS_AES_256_GCM_SHA384,ML-KEM-512,125947.00,0.00,225.00,191.00,82142.00
117,TLS_AES_256_GCM_SHA384,ML-KEM-512,125508.00,0.00,211.00,195.00,82170.00
118,TLS_AES_256_GCM_SHA384,ML-KEM-512,128708.00,0.00,240.00,133.00,82676.00
119,TLS_AES_256_GCM_SHA384,ML-KEM-512,126095.00,1.00,183.00,162.00,83146.00
120,TLS_AES_256_GCM_SHA384,ML-KEM-512,126717.00,0.00,183.00,166.00,84136.00
121,TLS_AES_256_GCM_SHA384,ML-KEM-512,127837.00,1.00,210.00,192.00,84064.00
122,TLS_AES_256_GCM_SHA384,ML-KEM-512,126977.00,1.00,228.00,166.00,83226.00
123,TLS_AES_256_GCM_SHA384,ML-KEM-512,126823.00,0.00,311.00,243.00,82629.00
124,TLS_AES_256_GCM_SHA384,ML-KEM-512,125580.00,1.00,302.00,197.00,82563.00
125,TLS_AES_256_GCM_SHA384,ML-KEM-512,125893.00,0.00,150.00,165.00,82765.00
126,TLS_AES_256_GCM_SHA384,ML-KEM-512,125959.00,0.00,252.00,164.00,82901.00
127,TLS_AES_256_GCM_SHA384,ML-KEM-512,126981.00,0.00,217.00,144.00,83827.00
128,TLS_AES_256_GCM_SHA384,ML-KEM-512,126518.00,0.00,245.00,167.00,83668.00
129,TLS_AES_256_GCM_SHA384,ML-KEM-512,126083.00,0.00,265.00,180.00,82898.00
130,TLS_AES_256_GCM_SHA384,ML-KEM-512,126563.00,0.00,159.00,167.00,84013.00
131,TLS_AES_256_GCM_SHA384,ML-KEM-512,126745.00,0.00,254.00,163.00,83510.00
132,TLS_AES_256_GCM_SHA384,ML-KEM-512,125989.00,1.00,143.00,137.00,83502.00
133,TLS_AES_256_GCM_SHA384,ML-KEM-512,125778.00,0.00,99.00,121.00,83337.00
134,TLS_AES_256_GCM_SHA384,ML-KEM-512,127110.00,1.00,223.00,169.00,84065.00
135,TLS_AES_256_GCM_SHA384,ML-KEM-512,126835.00,0.00,143.00,159.00,83798.00
136,TLS_AES_256_GCM_SHA384,ML-KEM-512,126833.00,1.00,227.00,198.00,83538.00
137,TLS_AES_256_GCM_SHA384,ML-KEM-512,126815.00,0.00,221.00,198.00,83525.00
138,TLS_AES_256_GCM_SHA384,ML-KEM-512,126815.00,0.00,226.00,200.00,83956.00
139,TLS_AES_256_GCM_SHA384,ML-KEM-512,126069.00,0.00,233.00,161.00,83146.00
140,TLS_AES_256_GCM_SHA384,ML-KEM-512,125458.00,0.00,74.00,72.00,83284.00
141,TLS_AES_256_GCM_SHA384,ML-KEM-512,125821.00,0.00,185.00,192.00,83194.00
142,TLS_AES_256_GCM_SHA384,ML-KEM-512,126726.00,0.00,236.00,200.00,83521.00
143,TLS_AES_256_GCM_SHA384,ML-KEM-512,126196.00,1.00,197.00,219.00,83326.00
144,TLS_AES_256_GCM_SHA384,ML-KEM-512,127798.00,1.00,207.00,193.00,83976.00
145,TLS_AES_256_GCM_SHA384,ML-KEM-512,126875.00,0.00,209.00,192.00,83950.00
146,TLS_AES_256_GCM_SHA384,ML-KEM-512,126889.00,1.00,225.00,245.00,83581.00
147,TLS_AES_256_GCM_SHA384,ML-KEM-512,126774.00,0.00,286.00,200.00,83398.00
148,TLS_AES_256_GCM_SHA384,ML-KEM-512,125947.00,0.00,143.00,139.00,82679.00
149,TLS_AES_256_GCM_SHA384,ML-KEM-512,125815.00,0.00,170.00,158.00,82516.00
150,TLS_AES_256_GCM_SHA384,ML-KEM-512,126846.00,0.00,182.00,199.00,83739.00
151,TLS_AES_256_GCM_SHA384,ML-KEM-512,126912.00,0.00,154.00,163.00,83758.00
152,TLS_AES_256_GCM_SHA384,ML-KEM-512,126569.00,0.00,271.00,197.00,82959.00
153,TLS_AES_256_GCM_SHA384,ML-KEM-512,126705.00,0.00,229.00,420.00,83416.00
154,TLS_AES_256_GCM_SHA384,ML-KEM-512,124916.00,0.00,138.00,180.00,82209.00
155,TLS_AES_256_GCM_SHA384,ML-KEM-512,124636.00,0.00,139.00,204.00,81854.00
156,TLS_AES_256_GCM_SHA384,ML-KEM-512,124143.00,0.00,77.00,105.00,82181.00
157,TLS_AES_256_GCM_SHA384,ML-KEM-512,124872.00,0.00,143.00,204.00,81775.00
158,TLS_AES_256_GCM_SHA384,ML-KEM-512,125237.00,0.00,141.00,190.00,81966.00
159,TLS_AES_256_GCM_SHA384,ML-KEM-512,125880.00,0.00,243.00,231.00,81985.00
160,TLS_AES_256_GCM_SHA384,ML-KEM-512,125804.00,0.00,259.00,175.00,82345.00
