conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
69,TLS_AES_256_GCM_SHA384,X25519,44264.00,180.00,312.00,122.00,962.00
70,TLS_AES_256_GCM_SHA384,X25519,44493.00,257.00,481.00,244.00,1319.00
71,TLS_AES_256_GCM_SHA384,X25519,45156.00,259.00,595.00,173.00,1813.00
72,TLS_AES_256_GCM_SHA384,X25519,45116.00,231.00,387.00,145.00,1140.00
73,TLS_AES_256_GCM_SHA384,X25519,45660.00,386.00,559.00,153.00,1516.00
74,TLS_AES_256_GCM_SHA384,X25519,44752.00,386.00,510.00,151.00,1309.00
75,TLS_AES_256_GCM_SHA384,X25519,44524.00,250.00,512.00,151.00,1334.00
76,TLS_AES_256_GCM_SHA384,X25519,45508.00,257.00,462.00,138.00,1491.00
77,TLS_AES_256_GCM_SHA384,X25519,45219.00,291.00,545.00,131.00,1246.00
78,TLS_AES_256_GCM_SHA384,X25519,44855.00,301.00,507.00,146.00,1488.00
79,TLS_AES_256_GCM_SHA384,X25519,43543.00,197.00,389.00,111.00,1086.00
80,TLS_AES_256_GCM_SHA384,X25519,43849.00,318.00,445.00,176.00,897.00
81,TLS_AES_256_GCM_SHA384,X25519,43237.00,183.00,418.00,161.00,913.00
82,TLS_AES_256_GCM_SHA384,X25519,45861.00,271.00,836.00,153.00,972.00
83,TLS_AES_256_GCM_SHA384,X25519,45302.00,250.00,496.00,133.00,1330.00
84,TLS_AES_256_GCM_SHA384,X25519,45101.00,253.00,508.00,149.00,1315.00
85,TLS_AES_256_GCM_SHA384,X25519,45352.00,303.00,557.00,147.00,1442.00
86,TLS_AES_256_GCM_SHA384,X25519,44658.00,357.00,593.00,171.00,1358.00
87,TLS_AES_256_GCM_SHA384,X25519,45944.00,329.00,665.00,211.00,1481.00
88,TLS_AES_256_GCM_SHA384,X25519,44899.00,223.00,473.00,133.00,1311.00
89,TLS_AES_256_GCM_SHA384,X25519,45031.00,203.00,444.00,126.00,1640.00
90,TLS_AES_256_GCM_SHA384,X25519,44735.00,229.00,448.00,132.00,1914.00
91,TLS_AES_256_GCM_SHA384,X25519,43664.00,199.00,439.00,125.00,1248.00
92,TLS_AES_256_GCM_SHA384,X25519,45278.00,341.00,443.00,120.00,1213.00
93,TLS_AES_256_GCM_SHA384,X25519,45462.00,397.00,587.00,167.00,1467.00
94,TLS_AES_256_GCM_SHA384,X25519,44145.00,414.00,397.00,109.00,1180.00
95,TLS_AES_256_GCM_SHA384,X25519,44714.00,249.00,558.00,154.00,990.00
96,TLS_AES_256_GCM_SHA384,X25519,46048.00,332.00,606.00,160.00,1520.00
97,TLS_AES_256_GCM_SHA384,X25519,43896.00,270.00,355.00,105.00,1022.00
98,TLS_AES_256_GCM_SHA384,X25519,45017.00,222.00,452.00,132.00,1350.00
99,TLS_AES_256_GCM_SHA384,X25519,45810.00,355.00,589.00,170.00,1443.00
100,TLS_AES_256_GCM_SHA384,X25519,45817.00,422.00,589.00,166.00,1416.00
101,TLS_AES_256_GCM_SHA384,X25519,46270.00,394.00,529.00,148.00,1457.00
